text,mbti
내가 챙길 수 있는 건 말해줘 일단 해보자,ISFJ
내가 챙길 수 있는 건 말해줘 너 생각은 어때?,ISFJ
이런 감정이 아직도 남아 있는 것 같아 ㅋㅋ,INFP
너가 편한 방향으로 가도 괜찮아 ㅋㅋ,ENFJ
이거 지금 바로 가도 되지? 일단 해보자,ESTP
괜히 마음이 찡하네 너 생각은 어때?,INFP
이건 구조부터 다시 정리해야 할 것 같아 일단 해보자,INTJ
이건 이렇게 처리하는 게 제일 빠르다 ㅋㅋ,ESTJ
계획 세워서 차분하게 진행하는 게 좋아 완전 공감이야,INTJ
내가 챙길 수 있는 건 말해줘 지금 느낌이 좀 그래,ISFJ
괜히 마음이 차분해진다 나중에 이야기해도 될까?,ISFP
원리부터 이해하고 싶다 나중에 이야기해도 될까?,INTP
계획 세워서 차분하게 진행하는 게 좋아 너 생각은 어때?,INTJ
이거 완전 재밌는 아이디어인데? 완전 공감이야,ENTP
이런 감정이 아직도 남아 있는 것 같아 너 생각은 어때?,INFP
결론부터 말하면 이렇게 가는 게 맞아 지금 당장!,ENTJ
와 지금 바로 해야 각이지 일단 해보자,ESTP
이런 감정이 아직도 남아 있는 것 같아 너 생각은 어때?,INFP
이건 이렇게 처리하는 게 제일 빠르다 나중에 이야기해도 될까?,ESTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 나중에 이야기해도 될까?,INTP
혹시 불편한 건 없었어? 완전 공감이야,ISFJ
정해진 규칙대로 진행하는 게 맞아 일단 해보자,ISTJ
괜히 마음이 차분해진다 일단 해보자,ISFP
계획 세워서 차분하게 진행하는 게 좋아 완전 공감이야,INTJ
다 같이 잘 맞춰서 가보자! 지금 당장!,ENFJ
너 기분은 괜찮아? 일단 해보자,ESFJ
와 지금 바로 해야 각이지 ㅎㅎ,ESTP
너 기분은 괜찮아? 너 생각은 어때?,ESFJ
일단 손부터 움직이자 ㅎㅎ,ISTP
지금 이 분위기 너무 좋다 지금 느낌이 좀 그래,ISFP
혹시 불편한 건 없었어? 너 생각은 어때?,ISFJ
이건 느낌상 방향이 중요한 것 같아 너 생각은 어때?,INFJ
이거 완전 재밌는 아이디어인데? ㅎㅎ,ENTP
정해진 규칙대로 진행하는 게 맞아 지금 느낌이 좀 그래,ISTJ
괜히 마음이 찡하네 완전 공감이야,INFP
이건 이렇게 처리하는 게 제일 빠르다 완전 공감이야,ESTJ
괜히 마음이 차분해진다 너 생각은 어때?,ISFP
혹시 불편한 건 없었어? 지금 느낌이 좀 그래,ISFJ
이런 감정이 아직도 남아 있는 것 같아 완전 공감이야,INFP
그냥 바로 해보는 게 제일 빠르지 나중에 이야기해도 될까?,ISTP
이거 완전 재밌는 아이디어인데? 지금 당장!,ENTP
좀 의미 있는 방향으로 가고 싶어 완전 공감이야,INFJ
너 기분은 괜찮아? ㅎㅎ,ESFJ
다른 방식으로도 해볼 수 있지 않을까? ㅋㅋ,ENTP
이거 완전 재밌는 아이디어인데? ㅋㅋ,ENTP
너가 편한 방향으로 가도 괜찮아 나중에 이야기해도 될까?,ENFJ
이거 지금 바로 가도 되지? 너 생각은 어때?,ESTP
와 이건 완전 설렌다 ㅋㅋ,ENFP
너가 편한 방향으로 가도 괜찮아 ㅋㅋ,ENFJ
일단 손부터 움직이자 지금 느낌이 좀 그래,ISTP
결론부터 말하면 이렇게 가는 게 맞아 완전 공감이야,ENTJ
확정된 일정대로 가자 완전 공감이야,ISTJ
이거 완전 재밌는 아이디어인데? 너 생각은 어때?,ENTP
너 기분은 괜찮아? 완전 공감이야,ESFJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅎㅎ,INTP
이거 지금 바로 가도 되지? 완전 공감이야,ESTP
내가 챙길 수 있는 건 말해줘 지금 당장!,ISFJ
좀 의미 있는 방향으로 가고 싶어 나중에 이야기해도 될까?,INFJ
지금 이 분위기 너무 좋다 나중에 이야기해도 될까?,ISFP
와 대박 너무 웃긴데? ㅎㅎ,ESFP
내가 챙길 수 있는 건 말해줘 지금 느낌이 좀 그래,ISFJ
정해진 규칙대로 진행하는 게 맞아 완전 공감이야,ISTJ
와 지금 바로 해야 각이지 지금 당장!,ESTP
결론부터 말하면 이렇게 가는 게 맞아 나중에 이야기해도 될까?,ENTJ
원리부터 이해하고 싶다 완전 공감이야,INTP
이거 완전 재밌는 아이디어인데? 일단 해보자,ENTP
역할 분담부터 다시 하자 지금 당장!,ESTJ
괜히 마음이 차분해진다 ㅋㅋ,ISFP
그냥 바로 해보는 게 제일 빠르지 나중에 이야기해도 될까?,ISTP
일단 손부터 움직이자 ㅎㅎ,ISTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅋㅋ,INTP
이건 느낌상 방향이 중요한 것 같아 지금 당장!,INFJ
이거 완전 재밌는 아이디어인데? 너 생각은 어때?,ENTP
이런 감정이 아직도 남아 있는 것 같아 지금 당장!,INFP
이거 지금 바로 가도 되지? 지금 당장!,ESTP
정해진 규칙대로 진행하는 게 맞아 나중에 이야기해도 될까?,ISTJ
이건 느낌상 방향이 중요한 것 같아 너 생각은 어때?,INFJ
괜히 마음이 차분해진다 완전 공감이야,ISFP
내가 챙길 수 있는 건 말해줘 ㅋㅋ,ISFJ
이건 구조부터 다시 정리해야 할 것 같아 지금 느낌이 좀 그래,INTJ
와 대박 너무 웃긴데? ㅋㅋ,ESFP
괜히 마음이 차분해진다 지금 느낌이 좀 그래,ISFP
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
그냥 바로 해보는 게 제일 빠르지 나중에 이야기해도 될까?,ISTP
와 이건 완전 설렌다 일단 해보자,ENFP
이건 구조부터 다시 정리해야 할 것 같아 ㅋㅋ,INTJ
계획 세워서 차분하게 진행하는 게 좋아 ㅋㅋ,INTJ
역할 분담부터 다시 하자 너 생각은 어때?,ESTJ
정해진 규칙대로 진행하는 게 맞아 지금 느낌이 좀 그래,ISTJ
와 이건 완전 설렌다 너 생각은 어때?,ENFP
이거 지금 바로 가도 되지? ㅋㅋ,ESTP
정해진 규칙대로 진행하는 게 맞아 지금 당장!,ISTJ
내가 챙길 수 있는 건 말해줘 나중에 이야기해도 될까?,ISFJ
너 기분은 괜찮아? 지금 당장!,ESFJ
이건 느낌상 방향이 중요한 것 같아 일단 해보자,INFJ
내가 챙길 수 있는 건 말해줘 완전 공감이야,ISFJ
너 기분은 괜찮아? 완전 공감이야,ESFJ
와 대박 너무 웃긴데? 지금 당장!,ESFP
결론부터 말하면 이렇게 가는 게 맞아 지금 느낌이 좀 그래,ENTJ
와 지금 바로 해야 각이지 일단 해보자,ESTP
와 지금 바로 해야 각이지 완전 공감이야,ESTP
괜히 마음이 차분해진다 ㅋㅋ,ISFP
이거 완전 재밌는 아이디어인데? 나중에 이야기해도 될까?,ENTP
정해진 규칙대로 진행하는 게 맞아 ㅎㅎ,ISTJ
서로 배려하면서 가자! 완전 공감이야,ESFJ
지금 이 순간이 제일 중요하지! 나중에 이야기해도 될까?,ESFP
일단 손부터 움직이자 나중에 이야기해도 될까?,ISTP
혹시 불편한 건 없었어? ㅋㅋ,ISFJ
일단 손부터 움직이자 지금 느낌이 좀 그래,ISTP
괜히 마음이 차분해진다 나중에 이야기해도 될까?,ISFP
너 기분은 괜찮아? ㅎㅎ,ESFJ
서로 배려하면서 가자! 일단 해보자,ESFJ
이런 감정이 아직도 남아 있는 것 같아 너 생각은 어때?,INFP
이런 감정이 아직도 남아 있는 것 같아 지금 느낌이 좀 그래,INFP
이건 내가 정리해서 바로 실행하자 너 생각은 어때?,ENTJ
계획 세워서 차분하게 진행하는 게 좋아 일단 해보자,INTJ
좀 의미 있는 방향으로 가고 싶어 ㅋㅋ,INFJ
다 같이 잘 맞춰서 가보자! ㅋㅋ,ENFJ
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
확정된 일정대로 가자 지금 느낌이 좀 그래,ISTJ
괜히 마음이 찡하네 일단 해보자,INFP
이런 감정이 아직도 남아 있는 것 같아 지금 당장!,INFP
원리부터 이해하고 싶다 너 생각은 어때?,INTP
서로 배려하면서 가자! ㅎㅎ,ESFJ
혹시 불편한 건 없었어? 나중에 이야기해도 될까?,ISFJ
다 같이 잘 맞춰서 가보자! ㅎㅎ,ENFJ
이건 내가 정리해서 바로 실행하자 ㅎㅎ,ENTJ
서로 배려하면서 가자! 지금 당장!,ESFJ
일단 손부터 움직이자 지금 당장!,ISTP
와 이건 완전 설렌다 너 생각은 어때?,ENFP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅋㅋ,INTP
생각만 해도 너무 기대돼 지금 당장!,ENFP
이거 지금 바로 가도 되지? ㅎㅎ,ESTP
지금 이 순간이 제일 중요하지! ㅎㅎ,ESFP
이건 내가 정리해서 바로 실행하자 ㅋㅋ,ENTJ
이건 내가 정리해서 바로 실행하자 너 생각은 어때?,ENTJ
이거 지금 바로 가도 되지? 너 생각은 어때?,ESTP
혹시 불편한 건 없었어? 지금 느낌이 좀 그래,ISFJ
다 같이 잘 맞춰서 가보자! 지금 느낌이 좀 그래,ENFJ
그냥 바로 해보는 게 제일 빠르지 지금 느낌이 좀 그래,ISTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 완전 공감이야,INTP
와 이건 완전 설렌다 ㅎㅎ,ENFP
이건 내가 정리해서 바로 실행하자 ㅋㅋ,ENTJ
너가 편한 방향으로 가도 괜찮아 나중에 이야기해도 될까?,ENFJ
지금 이 분위기 너무 좋다 ㅋㅋ,ISFP
확정된 일정대로 가자 일단 해보자,ISTJ
일단 손부터 움직이자 ㅎㅎ,ISTP
이거 지금 바로 가도 되지? ㅎㅎ,ESTP
지금 이 순간이 제일 중요하지! ㅋㅋ,ESFP
와 대박 너무 웃긴데? 나중에 이야기해도 될까?,ESFP
와 지금 바로 해야 각이지 ㅋㅋ,ESTP
와 지금 바로 해야 각이지 지금 당장!,ESTP
이건 구조부터 다시 정리해야 할 것 같아 완전 공감이야,INTJ
계획 세워서 차분하게 진행하는 게 좋아 지금 당장!,INTJ
좀 의미 있는 방향으로 가고 싶어 완전 공감이야,INFJ
혹시 불편한 건 없었어? 너 생각은 어때?,ISFJ
이건 느낌상 방향이 중요한 것 같아 ㅋㅋ,INFJ
지금 이 순간이 제일 중요하지! 지금 당장!,ESFP
일단 손부터 움직이자 지금 느낌이 좀 그래,ISTP
이거 지금 바로 가도 되지? ㅎㅎ,ESTP
와 대박 너무 웃긴데? 너 생각은 어때?,ESFP
와 대박 너무 웃긴데? 지금 느낌이 좀 그래,ESFP
다 같이 잘 맞춰서 가보자! 지금 당장!,ENFJ
와 지금 바로 해야 각이지 ㅋㅋ,ESTP
역할 분담부터 다시 하자 지금 당장!,ESTJ
괜히 마음이 찡하네 일단 해보자,INFP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 완전 공감이야,INTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 지금 당장!,INTP
정해진 규칙대로 진행하는 게 맞아 지금 당장!,ISTJ
다른 방식으로도 해볼 수 있지 않을까? 지금 당장!,ENTP
결론부터 말하면 이렇게 가는 게 맞아 일단 해보자,ENTJ
괜히 마음이 차분해진다 지금 느낌이 좀 그래,ISFP
이런 감정이 아직도 남아 있는 것 같아 너 생각은 어때?,INFP
서로 배려하면서 가자! ㅎㅎ,ESFJ
너 기분은 괜찮아? 일단 해보자,ESFJ
다른 방식으로도 해볼 수 있지 않을까? ㅎㅎ,ENTP
이건 이렇게 처리하는 게 제일 빠르다 너 생각은 어때?,ESTJ
와 이건 완전 설렌다 나중에 이야기해도 될까?,ENFP
와 이건 완전 설렌다 일단 해보자,ENFP
그냥 바로 해보는 게 제일 빠르지 지금 당장!,ISTP
이건 이렇게 처리하는 게 제일 빠르다 너 생각은 어때?,ESTJ
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
이건 이렇게 처리하는 게 제일 빠르다 너 생각은 어때?,ESTJ
원리부터 이해하고 싶다 나중에 이야기해도 될까?,INTP
다른 방식으로도 해볼 수 있지 않을까? 지금 당장!,ENTP
확정된 일정대로 가자 ㅋㅋ,ISTJ
정해진 규칙대로 진행하는 게 맞아 일단 해보자,ISTJ
괜히 마음이 차분해진다 완전 공감이야,ISFP
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
이거 지금 바로 가도 되지? 완전 공감이야,ESTP
서로 배려하면서 가자! ㅋㅋ,ESFJ
그냥 바로 해보는 게 제일 빠르지 완전 공감이야,ISTP
와 대박 너무 웃긴데? 너 생각은 어때?,ESFP
지금 이 순간이 제일 중요하지! 지금 당장!,ESFP
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
다른 방식으로도 해볼 수 있지 않을까? 일단 해보자,ENTP
확정된 일정대로 가자 ㅎㅎ,ISTJ
다른 방식으로도 해볼 수 있지 않을까? 완전 공감이야,ENTP
일단 손부터 움직이자 나중에 이야기해도 될까?,ISTP
확정된 일정대로 가자 나중에 이야기해도 될까?,ISTJ
너가 편한 방향으로 가도 괜찮아 지금 당장!,ENFJ
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
그냥 바로 해보는 게 제일 빠르지 지금 당장!,ISTP
와 지금 바로 해야 각이지 ㅋㅋ,ESTP
원리부터 이해하고 싶다 완전 공감이야,INTP
이건 이렇게 처리하는 게 제일 빠르다 일단 해보자,ESTJ
서로 배려하면서 가자! 너 생각은 어때?,ESFJ
역할 분담부터 다시 하자 지금 느낌이 좀 그래,ESTJ
서로 배려하면서 가자! ㅎㅎ,ESFJ
이건 내가 정리해서 바로 실행하자 지금 느낌이 좀 그래,ENTJ
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
계획 세워서 차분하게 진행하는 게 좋아 ㅎㅎ,INTJ
좀 의미 있는 방향으로 가고 싶어 일단 해보자,INFJ
이거 완전 재밌는 아이디어인데? 나중에 이야기해도 될까?,ENTP
지금 이 분위기 너무 좋다 지금 당장!,ISFP
내가 챙길 수 있는 건 말해줘 나중에 이야기해도 될까?,ISFJ
이건 느낌상 방향이 중요한 것 같아 너 생각은 어때?,INFJ
서로 배려하면서 가자! 완전 공감이야,ESFJ
와 지금 바로 해야 각이지 나중에 이야기해도 될까?,ESTP
이건 내가 정리해서 바로 실행하자 완전 공감이야,ENTJ
원리부터 이해하고 싶다 일단 해보자,INTP
이거 지금 바로 가도 되지? 완전 공감이야,ESTP
내가 챙길 수 있는 건 말해줘 ㅎㅎ,ISFJ
확정된 일정대로 가자 ㅋㅋ,ISTJ
괜히 마음이 차분해진다 너 생각은 어때?,ISFP
지금 이 분위기 너무 좋다 ㅋㅋ,ISFP
괜히 마음이 찡하네 ㅋㅋ,INFP
이건 이렇게 처리하는 게 제일 빠르다 ㅋㅋ,ESTJ
역할 분담부터 다시 하자 ㅎㅎ,ESTJ
서로 배려하면서 가자! 일단 해보자,ESFJ
다른 방식으로도 해볼 수 있지 않을까? 완전 공감이야,ENTP
괜히 마음이 찡하네 지금 당장!,INFP
좀 의미 있는 방향으로 가고 싶어 ㅎㅎ,INFJ
괜히 마음이 찡하네 너 생각은 어때?,INFP
이건 내가 정리해서 바로 실행하자 완전 공감이야,ENTJ
이건 느낌상 방향이 중요한 것 같아 완전 공감이야,INFJ
좀 의미 있는 방향으로 가고 싶어 ㅎㅎ,INFJ
좀 의미 있는 방향으로 가고 싶어 ㅋㅋ,INFJ
다른 방식으로도 해볼 수 있지 않을까? 지금 당장!,ENTP
이건 내가 정리해서 바로 실행하자 지금 느낌이 좀 그래,ENTJ
이거 지금 바로 가도 되지? ㅎㅎ,ESTP
원리부터 이해하고 싶다 지금 당장!,INTP
와 지금 바로 해야 각이지 지금 당장!,ESTP
너 기분은 괜찮아? ㅎㅎ,ESFJ
너 기분은 괜찮아? 완전 공감이야,ESFJ
다른 방식으로도 해볼 수 있지 않을까? ㅋㅋ,ENTP
와 지금 바로 해야 각이지 일단 해보자,ESTP
이건 느낌상 방향이 중요한 것 같아 지금 느낌이 좀 그래,INFJ
이런 감정이 아직도 남아 있는 것 같아 지금 당장!,INFP
이건 이렇게 처리하는 게 제일 빠르다 지금 느낌이 좀 그래,ESTJ
지금 이 순간이 제일 중요하지! 나중에 이야기해도 될까?,ESFP
생각만 해도 너무 기대돼 ㅎㅎ,ENFP
너가 편한 방향으로 가도 괜찮아 ㅎㅎ,ENFJ
서로 배려하면서 가자! ㅋㅋ,ESFJ
원리부터 이해하고 싶다 너 생각은 어때?,INTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 나중에 이야기해도 될까?,INTP
이런 감정이 아직도 남아 있는 것 같아 너 생각은 어때?,INFP
확정된 일정대로 가자 지금 당장!,ISTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 지금 당장!,INTP
너가 편한 방향으로 가도 괜찮아 일단 해보자,ENFJ
일단 손부터 움직이자 ㅎㅎ,ISTP
확정된 일정대로 가자 일단 해보자,ISTJ
결론부터 말하면 이렇게 가는 게 맞아 너 생각은 어때?,ENTJ
좀 의미 있는 방향으로 가고 싶어 일단 해보자,INFJ
지금 이 분위기 너무 좋다 지금 느낌이 좀 그래,ISFP
이건 이렇게 처리하는 게 제일 빠르다 일단 해보자,ESTJ
지금 이 분위기 너무 좋다 나중에 이야기해도 될까?,ISFP
서로 배려하면서 가자! ㅎㅎ,ESFJ
괜히 마음이 차분해진다 ㅎㅎ,ISFP
다른 방식으로도 해볼 수 있지 않을까? 지금 느낌이 좀 그래,ENTP
정해진 규칙대로 진행하는 게 맞아 지금 당장!,ISTJ
정해진 규칙대로 진행하는 게 맞아 너 생각은 어때?,ISTJ
서로 배려하면서 가자! 나중에 이야기해도 될까?,ESFJ
좀 의미 있는 방향으로 가고 싶어 지금 느낌이 좀 그래,INFJ
괜히 마음이 찡하네 ㅋㅋ,INFP
지금 이 순간이 제일 중요하지! 완전 공감이야,ESFP
그냥 바로 해보는 게 제일 빠르지 지금 느낌이 좀 그래,ISTP
괜히 마음이 찡하네 완전 공감이야,INFP
정해진 규칙대로 진행하는 게 맞아 일단 해보자,ISTJ
와 이건 완전 설렌다 완전 공감이야,ENFP
결론부터 말하면 이렇게 가는 게 맞아 지금 느낌이 좀 그래,ENTJ
그냥 바로 해보는 게 제일 빠르지 ㅎㅎ,ISTP
너 기분은 괜찮아? 너 생각은 어때?,ESFJ
역할 분담부터 다시 하자 지금 당장!,ESTJ
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
원리부터 이해하고 싶다 지금 당장!,INTP
이거 완전 재밌는 아이디어인데? 완전 공감이야,ENTP
계획 세워서 차분하게 진행하는 게 좋아 너 생각은 어때?,INTJ
지금 이 순간이 제일 중요하지! 지금 당장!,ESFP
지금 이 순간이 제일 중요하지! 너 생각은 어때?,ESFP
괜히 마음이 찡하네 ㅎㅎ,INFP
좀 의미 있는 방향으로 가고 싶어 ㅎㅎ,INFJ
이건 내가 정리해서 바로 실행하자 ㅎㅎ,ENTJ
와 지금 바로 해야 각이지 너 생각은 어때?,ESTP
지금 이 분위기 너무 좋다 너 생각은 어때?,ISFP
일단 손부터 움직이자 너 생각은 어때?,ISTP
계획 세워서 차분하게 진행하는 게 좋아 일단 해보자,INTJ
다른 방식으로도 해볼 수 있지 않을까? 나중에 이야기해도 될까?,ENTP
정해진 규칙대로 진행하는 게 맞아 완전 공감이야,ISTJ
역할 분담부터 다시 하자 너 생각은 어때?,ESTJ
와 이건 완전 설렌다 일단 해보자,ENFP
와 대박 너무 웃긴데? 일단 해보자,ESFP
생각만 해도 너무 기대돼 너 생각은 어때?,ENFP
이건 느낌상 방향이 중요한 것 같아 지금 느낌이 좀 그래,INFJ
다 같이 잘 맞춰서 가보자! 너 생각은 어때?,ENFJ
이건 구조부터 다시 정리해야 할 것 같아 ㅋㅋ,INTJ
이건 구조부터 다시 정리해야 할 것 같아 지금 당장!,INTJ
그냥 바로 해보는 게 제일 빠르지 ㅋㅋ,ISTP
너가 편한 방향으로 가도 괜찮아 지금 느낌이 좀 그래,ENFJ
생각만 해도 너무 기대돼 일단 해보자,ENFP
이거 지금 바로 가도 되지? 지금 느낌이 좀 그래,ESTP
그냥 바로 해보는 게 제일 빠르지 완전 공감이야,ISTP
확정된 일정대로 가자 일단 해보자,ISTJ
이건 느낌상 방향이 중요한 것 같아 나중에 이야기해도 될까?,INFJ
와 지금 바로 해야 각이지 ㅋㅋ,ESTP
괜히 마음이 찡하네 ㅋㅋ,INFP
이건 내가 정리해서 바로 실행하자 나중에 이야기해도 될까?,ENTJ
이거 지금 바로 가도 되지? 지금 느낌이 좀 그래,ESTP
좀 의미 있는 방향으로 가고 싶어 나중에 이야기해도 될까?,INFJ
정해진 규칙대로 진행하는 게 맞아 너 생각은 어때?,ISTJ
일단 손부터 움직이자 완전 공감이야,ISTP
일단 손부터 움직이자 ㅋㅋ,ISTP
원리부터 이해하고 싶다 지금 느낌이 좀 그래,INTP
역할 분담부터 다시 하자 지금 느낌이 좀 그래,ESTJ
서로 배려하면서 가자! 완전 공감이야,ESFJ
생각만 해도 너무 기대돼 ㅎㅎ,ENFP
이건 이렇게 처리하는 게 제일 빠르다 지금 당장!,ESTJ
와 지금 바로 해야 각이지 ㅋㅋ,ESTP
와 대박 너무 웃긴데? 나중에 이야기해도 될까?,ESFP
와 지금 바로 해야 각이지 일단 해보자,ESTP
지금 이 순간이 제일 중요하지! 완전 공감이야,ESFP
괜히 마음이 찡하네 ㅎㅎ,INFP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅎㅎ,INTP
이건 내가 정리해서 바로 실행하자 너 생각은 어때?,ENTJ
원리부터 이해하고 싶다 완전 공감이야,INTP
다 같이 잘 맞춰서 가보자! 너 생각은 어때?,ENFJ
서로 배려하면서 가자! 너 생각은 어때?,ESFJ
정해진 규칙대로 진행하는 게 맞아 지금 느낌이 좀 그래,ISTJ
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
결론부터 말하면 이렇게 가는 게 맞아 ㅋㅋ,ENTJ
결론부터 말하면 이렇게 가는 게 맞아 너 생각은 어때?,ENTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 지금 느낌이 좀 그래,INTP
생각만 해도 너무 기대돼 지금 당장!,ENFP
혹시 불편한 건 없었어? ㅎㅎ,ISFJ
괜히 마음이 찡하네 완전 공감이야,INFP
계획 세워서 차분하게 진행하는 게 좋아 지금 느낌이 좀 그래,INTJ
원리부터 이해하고 싶다 ㅎㅎ,INTP
서로 배려하면서 가자! 지금 당장!,ESFJ
결론부터 말하면 이렇게 가는 게 맞아 지금 당장!,ENTJ
좀 의미 있는 방향으로 가고 싶어 일단 해보자,INFJ
이거 완전 재밌는 아이디어인데? 나중에 이야기해도 될까?,ENTP
지금 이 순간이 제일 중요하지! 완전 공감이야,ESFP
이건 구조부터 다시 정리해야 할 것 같아 완전 공감이야,INTJ
좀 의미 있는 방향으로 가고 싶어 완전 공감이야,INFJ
지금 이 순간이 제일 중요하지! 지금 당장!,ESFP
좀 의미 있는 방향으로 가고 싶어 일단 해보자,INFJ
와 이건 완전 설렌다 나중에 이야기해도 될까?,ENFP
생각만 해도 너무 기대돼 ㅋㅋ,ENFP
결론부터 말하면 이렇게 가는 게 맞아 완전 공감이야,ENTJ
혹시 불편한 건 없었어? ㅎㅎ,ISFJ
이건 느낌상 방향이 중요한 것 같아 나중에 이야기해도 될까?,INFJ
괜히 마음이 차분해진다 완전 공감이야,ISFP
혹시 불편한 건 없었어? ㅎㅎ,ISFJ
결론부터 말하면 이렇게 가는 게 맞아 ㅋㅋ,ENTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 완전 공감이야,INTP
와 대박 너무 웃긴데? 완전 공감이야,ESFP
다른 방식으로도 해볼 수 있지 않을까? ㅎㅎ,ENTP
서로 배려하면서 가자! 완전 공감이야,ESFJ
이런 감정이 아직도 남아 있는 것 같아 지금 당장!,INFP
지금 이 순간이 제일 중요하지! 지금 느낌이 좀 그래,ESFP
혹시 불편한 건 없었어? ㅎㅎ,ISFJ
그냥 바로 해보는 게 제일 빠르지 ㅎㅎ,ISTP
다 같이 잘 맞춰서 가보자! 완전 공감이야,ENFJ
결론부터 말하면 이렇게 가는 게 맞아 ㅎㅎ,ENTJ
결론부터 말하면 이렇게 가는 게 맞아 일단 해보자,ENTJ
일단 손부터 움직이자 지금 당장!,ISTP
다 같이 잘 맞춰서 가보자! 지금 당장!,ENFJ
생각만 해도 너무 기대돼 ㅎㅎ,ENFP
원리부터 이해하고 싶다 너 생각은 어때?,INTP
지금 이 분위기 너무 좋다 너 생각은 어때?,ISFP
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
그냥 바로 해보는 게 제일 빠르지 일단 해보자,ISTP
지금 이 순간이 제일 중요하지! ㅋㅋ,ESFP
이건 구조부터 다시 정리해야 할 것 같아 ㅋㅋ,INTJ
일단 손부터 움직이자 ㅎㅎ,ISTP
이건 구조부터 다시 정리해야 할 것 같아 ㅎㅎ,INTJ
그냥 바로 해보는 게 제일 빠르지 완전 공감이야,ISTP
이건 느낌상 방향이 중요한 것 같아 너 생각은 어때?,INFJ
괜히 마음이 찡하네 지금 느낌이 좀 그래,INFP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 일단 해보자,INTP
괜히 마음이 찡하네 너 생각은 어때?,INFP
지금 이 순간이 제일 중요하지! 완전 공감이야,ESFP
서로 배려하면서 가자! 완전 공감이야,ESFJ
결론부터 말하면 이렇게 가는 게 맞아 ㅎㅎ,ENTJ
좀 의미 있는 방향으로 가고 싶어 ㅎㅎ,INFJ
일단 손부터 움직이자 지금 당장!,ISTP
원리부터 이해하고 싶다 완전 공감이야,INTP
결론부터 말하면 이렇게 가는 게 맞아 너 생각은 어때?,ENTJ
서로 배려하면서 가자! 완전 공감이야,ESFJ
너 기분은 괜찮아? 지금 느낌이 좀 그래,ESFJ
정해진 규칙대로 진행하는 게 맞아 완전 공감이야,ISTJ
생각만 해도 너무 기대돼 일단 해보자,ENFP
지금 이 분위기 너무 좋다 너 생각은 어때?,ISFP
혹시 불편한 건 없었어? ㅎㅎ,ISFJ
이건 내가 정리해서 바로 실행하자 너 생각은 어때?,ENTJ
결론부터 말하면 이렇게 가는 게 맞아 일단 해보자,ENTJ
지금 이 분위기 너무 좋다 ㅎㅎ,ISFP
결론부터 말하면 이렇게 가는 게 맞아 너 생각은 어때?,ENTJ
와 지금 바로 해야 각이지 지금 당장!,ESTP
이거 완전 재밌는 아이디어인데? 나중에 이야기해도 될까?,ENTP
다 같이 잘 맞춰서 가보자! ㅎㅎ,ENFJ
내가 챙길 수 있는 건 말해줘 나중에 이야기해도 될까?,ISFJ
괜히 마음이 차분해진다 나중에 이야기해도 될까?,ISFP
지금 이 분위기 너무 좋다 ㅋㅋ,ISFP
정해진 규칙대로 진행하는 게 맞아 지금 당장!,ISTJ
지금 이 순간이 제일 중요하지! 지금 당장!,ESFP
서로 배려하면서 가자! 지금 느낌이 좀 그래,ESFJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 완전 공감이야,INTP
괜히 마음이 찡하네 완전 공감이야,INFP
이건 이렇게 처리하는 게 제일 빠르다 너 생각은 어때?,ESTJ
좀 의미 있는 방향으로 가고 싶어 너 생각은 어때?,INFJ
원리부터 이해하고 싶다 너 생각은 어때?,INTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 지금 느낌이 좀 그래,INTP
내가 챙길 수 있는 건 말해줘 너 생각은 어때?,ISFJ
